Date,Match,Selection,Decimal_Odds,Stake_NOK,Result,P_L_NOK,Notes
2026-06-23,Norway vs Senegal (FIFA World Cup 2026),Erling Haaland to score (anytime),1.90,12,Win,+10.80,"round_20260623_norway_senegal_wc_current_odds.md #1; ... [full]"
2026-06-23,Norway vs Senegal (FIFA World Cup 2026),Over 2.5 total goals,1.85,10,Win,+8.50,"round_20260623_norway_senegal_wc_current_odds.md #2; ... [full]"
2026-06-23,Norway vs Senegal (FIFA World Cup 2026),Over 2.5 cards,1.48,10,Loss,-10.00,"round_20260623_norway_senegal_wc_current_odds.md #3; ... [full]"
2026-06-23,Jordan vs Algeria (WC 2026),Algeria Clean Sheet Yes,1.97,20,Loss,-20.00,"round_20260623_jordan_algeria_current_odds_recommendations.md #1; ... [full]"
2026-06-23,Jordan vs Algeria (WC 2026),Under 9.5 Total Corners,1.55,15,Loss,-15.00,"round_20260623_jordan_algeria_current_odds_recommendations.md #2; ... [full]"
2026-06-23,Jordan vs Algeria (WC 2026),Amine Gouiri Anytime Goalscorer,2.20,12,Win,+13.80,"round_20260623_jordan_algeria_current_odds_recommendations.md #3; ... [full]"
2026-06-23,"Dzumhur, Damir vs Kopriva, Vit","Over 22.5 Total Games",1.75,12,Loss,-12.00,"current_odds_01.txt #1; ... [full]"
2026-06-23,"Paolini, Jasmine vs Maria, Tatjana","Over 21.5 Total Games",1.80,10,Loss,-10.00,"current_odds_01.txt #2; ... [full]"
2026-06-23,"KuPS vs Ilves Tampere","Totalt antall mål - over/under 2.5 Over 2.5",1.55,12,Win,6.60,"round_20260623_finnish_esports_current_odds_recommendations.md #1; SETTLED post user report; payout 18.60 (P/L +6.60)"
2026-06-23,"FC Lahti vs TPS Turku","Begge lag scorer Ja",1.70,10,Loss,-10.00,"round_20260623_finnish_esports_current_odds_recommendations.md #2; SETTLED post user report; payout 0 (P/L -10)"
2026-06-23,"Sharks eSports vs Eternal Fire","Totalt antall kart 2.5 Over 2.5",1.80,10,Loss,-10.00,"round_20260623_finnish_esports_current_odds_recommendations.md #3; SETTLED post user report; payout 0 (P/L -10)"
2026-06-23,Portugal vs Uzbekistan (WC 2026),Portugal -2 (Handikap 3-veis 0:2),2.05,12,Win,13.20,"round_20260623_portugal_uzbekistan_wc_current_odds.md #1; SETTLED post user report; payout 25.20 (P/L +13.20)"
2026-06-23,Portugal vs Uzbekistan (WC 2026),Totalt antall hjørnespark Over 9.5,1.90,10,Loss,-10.00,"round_20260623_portugal_uzbekistan_wc_current_odds.md #2; SETTLED post user report; payout 0 (P/L -10)"
2026-06-23,Portugal vs Uzbekistan (WC 2026),Akmal Mozgovoy To Be Carded Ja,3.55,10,Loss,-10.00,"round_20260623_portugal_uzbekistan_wc_current_odds.md #3; SETTLED post user report; payout 0 (P/L -10)"
2026-06-23,IFK Mariehamn vs HJK Helsinki,HJK Helsinki holder nullen (clean sheet) Ja,2.10,12,Win,13.80,"round_20260623_current_odds_01_recommendations.md #1; SETTLED post user report; payout 25.80 (P/L +13.80)"
2026-06-23,FF Jaro vs IF Gnistan,IF Gnistan holder nullen (clean sheet) Ja,2.70,10,Loss,-10.00,"round_20260623_current_odds_01_recommendations.md #2; SETTLED post user report; payout 0 (P/L -10)"
2026-06-23,Ryan Day vs Phil O'Kane (Snooker Championship League),Ryan Day to win,1.37,10,Win,3.70,"round_20260623_current_odds_01_recommendations.md #3; SETTLED post user report; payout 13.70 (P/L +3.70)"
2026-06-24,Panama vs Croatia (FIFA World Cup 2026 Group L),Over 2.5 Total Goals,1.72,15,Loss,-15.00,"round_20260624_panama_croatia_current_odds_01_recommendations.md #1; SETTLED Loss payout 0 NOK (P/L -15); post-settlement-learning-reviewer + nt-learning-reviewer + tool searches triggered per robust_betting_protocol_v2.md; hyp: xG ~2.8-3.3 + must-win open style → Over likely. Reality: low event/clinical (1-0 or similar per live snippets, Budimir 54' goal, low shots/corners early). Tool proof: web:35-45 + Fox box, Reddit live, X trends confirm low volume, clinical performance. Lesson: WC fav vs compact/organized minnow repeats clinical low-event pattern (Portugal/Argentina parallel) — tighten Over goals/corners with 'expected high event rate + not too clinical/compact opponent confirmation'. Corners O4.5 also lost for same reason."
2026-06-24,Panama vs Croatia (FIFA World Cup 2026 Group L),Ante Budimir Anytime To Score,1.97,12,Win,+11.64,"round_20260624_panama_croatia_current_odds_01_recommendations.md #2; SETTLED Win payout 23.64 NOK (P/L +11.64); post-settlement...; hyp: focal point vs leaky Panama D, high xG share. Reality: Budimir scored 54' (assisted Stanisic). Tool proof: Fox box, live updates confirm goal time/assist. Lesson: WC player props on focal strikers vs weak D validated strongly (consistent with Haaland/Mbappe/Gouiri). Keep/promote core."
2026-06-24,Panama vs Croatia (FIFA World Cup 2026 Group L),Croatia Corners Over 4.5,1.47,10,Loss,-10.00,"round_20260624_panama_croatia_current_odds_01_recommendations.md #3; SETTLED Loss payout 0 NOK (P/L -10); post-settlement...; hyp: dominant attacks/poss → high corners volume. Reality: low corners (clinical/compact game). Tool proof: live snippets, box confirm low volume. Lesson: Same clinical low-event variance as goals — edges update: add stricter 'high event/width/opponent high-line confirmation' for WC corners Over on fav. Repeated pattern from Portugal/Argentina."
2026-06-24,Panama vs Croatia (FIFA World Cup 2026 Group L),Croatia total cards Under 2.5,2.10,10,Win,+11.00,"round_20260624_panama_croatia_current_odds_01_recommendations.md #4; SETTLED Win payout 21 NOK (P/L +11); post-settlement...; hyp: ref ~3.7 YC + tension/must-win → cards likely Over but Under selected for value/Contrarian. Reality: low cards (cautious/physical but controlled). Tool proof: live updates, Barcenas yellow noted but total low. Lesson: WC must-win can be physical but low bookings if not chaotic; cards U can have value when ref avg high but game flows controlled. Monitor for future; props/cards selective good diversification vs volume bets in clinical games."
2026-06-24,Colombia vs DR Congo (FIFA WC 2026 Group K),Luis Suarez To Score (anytime),2.30,12,Loss,-12.00,"round_20260624_colombia_dr_congo_current_odds_01_recommendations.md #1; user confirmed \"all recommended\" placed exactly; pending appended per nt-bet-log-manager + robust_betting_protocol_v2.md; SETTLED Loss payout 0 NOK (P/L -12.00); post-settlement-learning-reviewer + nt-learning-reviewer + mandatory tool searches triggered per protocol. Hyp: Starting focal poacher vs outclassed D, high xG/share, previews/lineups threat. Reality: Started but subbed 57' for Córdoba (tactical/fitness?), no goal; team 1-0 clinical low conversion (20 shots 1.03 xG, Mpasi 8 saves heroics). Tool proof: [web:0-9,26] ESPN/Guardian/AS/Yahoo/Hindu/Marca confirm scoreline, Muñoz 76', Suarez sub time, keeper stats, shot volume vs output. Key missed: early sub risk, finishing variance on day. Lesson for edges: Player scorer props tighten with 'no early sub/fitness risk + clinical finishing confirmation'; variance higher for vets in WC. Full deep dive + multi-agent in round file."
2026-06-24,Colombia vs DR Congo (FIFA WC 2026 Group K),Over 2.5 Total Goals,2.10,10,Loss,-10.00,"round_20260624_colombia_dr_congo_current_odds_01_recommendations.md #2; user confirmed \"all recommended\" placed exactly; pending appended per nt-bet-log-manager + robust_betting_protocol_v2.md; SETTLED Loss payout 0 NOK (P/L -10.00); post-settlement... Hyp: Superiority/width, predicted 2-3+, xG edge. Reality: 1-0 (Muñoz late), compact DRC + elite GK kept low event/clinical. Tool proof: same [web:1-8,26] confirm 1 goal total. Key missed: clinical efficiency/low conversion repeat WC pattern (Portugal/Argentina). Lesson: Tighten WC Over/-1 vs compact D with 'high conversion expected or opponent leaky + no hero GK'; props/corners better div. Full deep dive in round file + edges update."
2026-06-24,Colombia vs DR Congo (FIFA WC 2026 Group K),Colombia -1 (Handikap 3-veis 0:1 Colombia -1),2.55,10,Loss,-10.00,"round_20260624_colombia_dr_congo_current_odds_01_recommendations.md #3; user confirmed \"all recommended\" placed exactly; pending appended per nt-bet-log-manager + robust_betting_protocol_v2.md; SETTLED Loss payout 0 NOK (P/L -10.00); post-settlement... Hyp: Dominant win by 2+ realistic. Reality: Won by 1 goal only. Same clinical low event. Tool proof: same sources. Lesson: Same as above - tighten filter for volume bets in WC group clinical scenarios. Corners hit despite."
